MA_CN,LOAI_TIEN,MA_TK,TEN_TK,LOAI_BT,DN_DAUKY,DC_DAUKY,SBT_NO,ST_GHINO,SBT_CO,ST_GHICO,DN_CUOIKY,DC_CUOIKY
"7808","VND","459909","Các khoản phải trả bên ngoài khác","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","46    ","Các khoản phải trả nội bộ","'C","0                      ","20410000               ","0     ","0                      ","0     ","0                      ","0                      ","20410000               "
"7808","VND","461   ","Thừa quỹ, tài sản thừa chờ xử lý","'C","0                      ","8200000                ","0     ","0                      ","0     ","0                      ","0                      ","8200000                "
"7808","VND","4610  ","Thừa quỹ, tài sản thừa chờ xử lý","'C","0                      ","8200000                ","0     ","0                      ","0     ","0                      ","0                      ","8200000                "
"7808","VND","461001","Thừa quỹ, tài sản thừa chờ xử lý","'C","0                      ","8200000                ","0     ","0                      ","0     ","0                      ","0                      ","8200000                "
"7808","VND","462   ","Các khoản phải trả cho cán bộ, nhân viên ","'C","0                      ","12210000               ","0     ","0                      ","0     ","0                      ","0                      ","12210000               "
"7808","VND","4620  ","Các khoản phải trả cho cán bộ, nhân viên ","'C","0                      ","12210000               ","0     ","0                      ","0     ","0                      ","0                      ","12210000               "
"7808","VND","462001","Các khoản phải trả cho cán bộ, nhân viên ","'C","0                      ","12210000               ","0     ","0                      ","0     ","0                      ","0                      ","12210000               "
"7808","VND","47    ","Các  giao dịch ngoại hối","'B","984496                 ","0                      ","1     ","2632                   ","0     ","0                      ","987128                 ","0                      "
"7808","VND","471   ","Mua bán ngoại tệ kinh doanh","'B","984496                 ","0                      ","1     ","2632                   ","0     ","0                      ","987128                 ","0                      "
"7808","VND","4711  ","Mua bán ngoại tệ kinh doanh","'B","984496                 ","0                      ","1     ","2632                   ","0     ","0                      ","987128                 ","0                      "
"7808","VND","471101","Mua bán ngoại tệ kinh doanh","'B","984496                 ","0                      ","1     ","2632                   ","0     ","0                      ","987128                 ","0                      "
"7808","VND","48    ","Các tài sản Nợ khác","'C","0                      ","53478000               ","0     ","0                      ","36    ","21819291               ","0                      ","75297291               "
"7808","VND","484   ","Quỹ K.T, phúc lợi và thưởng Ban QLĐH","'C","0                      ","53478000               ","0     ","0                      ","0     ","0                      ","0                      ","53478000               "
"7808","VND","4841  ","Quỹ khen thưởng","'C","0                      ","53478000               ","0     ","0                      ","0     ","0                      ","0                      ","53478000               "
"7808","VND","484101","Quỹ khen thưởng","'C","0                      ","53478000               ","0     ","0                      ","0     ","0                      ","0                      ","53478000               "
"7808","VND","488   ","Doanh thu chờ phân bổ","'C","0                      ","0                      ","0     ","0                      ","36    ","21819291               ","0                      ","21819291               "
"7808","VND","4880  ","Doanh thu chờ phân bổ","'C","0                      ","0                      ","0     ","0                      ","36    ","21819291               ","0                      ","21819291               "
"7808","VND","488001","Doanh thu chờ phân bổ","'C","0                      ","0                      ","0     ","0                      ","36    ","21819291               ","0                      ","21819291               "
"7808","VND","49    ","Lãi và phí phải trả","'C","0                      ","0                      ","0     ","0                      ","1126  ","1386278187             ","0                      ","1386278187             "
"7808","VND","491   ","Lãi phải trả cho tiền gửi","'C","0                      ","0                      ","0     ","0                      ","1126  ","1386278187             ","0                      ","1386278187             "
"7808","VND","4911  ","Lãi phải trả cho tiền gửi ","'C","0                      ","0                      ","0     ","0                      ","456   ","264148115              ","0                      ","264148115              "
"7808","VND","491101","Lãi phải trả cho tiền gửi ","'C","0                      ","0                      ","0     ","0                      ","456   ","264148115              ","0                      ","264148115              "
"7808","VND","4913  ","Lãi phải trả cho tiền gửi tiết kiệm ","'C","0                      ","0                      ","0     ","0                      ","670   ","1122130072             ","0                      ","1122130072             "
"7808","VND","491301","Lãi phải trả cho tiền gửi tiết kiệm ","'C","0                      ","0                      ","0     ","0                      ","670   ","1122130072             ","0                      ","1122130072             "
"7808","VND","5     ","Hoạt động thanh toán","'B","14547146731            ","2011769938             ","949   ","18143721138            ","1719  ","20463230076            ","14547146731            ","4331278876             "
"7808","VND","51    ","Thanh  toán, chuyển tiền","'B","14547146731            ","2011769938             ","949   ","18143721138            ","1719  ","20463230076            ","14547146731            ","4331278876             "
"7808","VND","519   ","Thanh toán khác giữa các đơn vị trong hệ thống Agri","'B","14547146731            ","2011769938             ","949   ","18143721138            ","1719  ","20463230076            ","14547146731            ","4331278876             "
"7808","VND","5191  ","Điều chuyển vốn","'B","14547146731            ","2011769938             ","940   ","18130497138            ","1706  ","20450006076            ","14547146731            ","4331278876             "
"7808","VND","519101","Điều chuyển vốn giữa Trụ sở chính với chi nhánh loạ","'B","0                      ","1505277159             ","940   ","18130497138            ","1706  ","20450006076            ","0                      ","3824786097             "
"7808","VND","519105","ĐCV giá trị còn lại TSCĐ giữa TSC với CN loại I,II","'B","0                      ","506492779              ","0     ","0                      ","0     ","0                      ","0                      ","506492779              "
"7808","VND","519123","ĐCV DTBB giữa  CN loại I, loại II với đơn vị trực t","'B","791146731              ","0                      ","0     ","0                      ","0     ","0                      ","791146731              ","0                      "
"7808","VND","519126","Quỹ thanh toán tập trung giữa CN loại I,II với ĐV t","'B","10709000000            ","0                      ","0     ","0                      ","0     ","0                      ","10709000000            ","0                      "
"7808","VND","519129","Điều chuyển vốn khác giữa CN loại I,II với ĐV trực ","'B","3047000000             ","0                      ","0     ","0                      ","0     ","0                      ","3047000000             ","0                      "
"7808","VND","5199  ","Thanh toán khác ","'B","0                      ","0                      ","9     ","13224000               ","13    ","13224000               ","0                      ","0                      "
"7808","VND","519908","Tài khoản trung gian cho giao dịch cùng chi nhánh O","'B","0                      ","0                      ","9     ","13224000               ","13    ","13224000               ","0                      ","0                      "
"7808","VND","6     ","Nguồn vốn chủ sở hữu","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","63    ","Chênh lệch tỷ giá hối đoái, vàng bạc đá quý","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","631   ","Chênh lệch tỷ giá hối đoái","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","6311  ","Chênh lệch tỷ giá hối đoái đánh giá lại vào thời đi","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","631101","Chênh lệch tỷ giá hối đoái đánh giá lại vào thời đi","'C","0                      ","-48512                 ","0     ","0                      ","1     ","2632                   ","0                      ","-45880                 "
"7808","VND","69    ","Lợi nhuận chưa phân phối","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","692   ","Lợi nhuận năm trước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","6920  ","Lợi nhuận năm trước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","692001","Lợi nhuận năm trước","'C","0                      ","0                      ","0     ","0                      ","0     ","0                      ","0                      ","0                      "
"7808","VND","7     ","Thu nhập","'C","0                      ","11353567783            ","1312  ","1748411376             ","905   ","907159358              ","0                      ","10512315765            "
"7808","VND","70    ","Thu nhập từ hoạt động tín dụng","'C","0                      ","9038831185             ","780   ","353032011              ","807   ","887879554              ","0                      ","9573678728             "
"7808","VND","702   ","Thu lãi cho vay ","'C","0                      ","9017255188             ","746   ","333011569              ","807   ","887879554              ","0                      ","9572123173             "
"7808","VND","7020  ","Thu lãi cho vay ","'C","0                      ","9017255188             ","746   ","333011569              ","807   ","887879554              ","0                      ","9572123173             "
"7808","VND","702001","Thu lãi cho vay ngắn hạn","'C","0                      ","381259727              ","137   ","57974504               ","143   ","58065071               ","0                      ","381350294              "
"7808","VND","702002","Thu lãi cho vay trung hạn","'C","0                      ","5843403844             ","596   ","236201973              ","631   ","200239319              ","0                      ","5807441190             "
"7808","VND","702003","Thu lãi cho vay dài hạn","'C","0                      ","465910929              ","13    ","38835092               ","32    ","78161151               ","0                      ","505236988              "
"7808","VND","702010","Thu nhập bán vốn","'C","0                      ","2325188135             ","0     ","0                      ","1     ","551414013              ","0                      ","2876602148             "
"7808","VND","702014","Thu lãi cho vay thẻ tín dụng","'C","0                      ","1492553                ","0     ","0                      ","0     ","0                      ","0                      ","1492553                "
"7808","VND","704   ","Thu từ nghiệp vụ bảo lãnh","'C","0                      ","21575997               ","34    ","20020442               ","0     ","0                      ","0                      ","1555555                "
"7808","VND","7040  ","Thu từ nghiệp vụ bảo lãnh","'C","0                      ","21575997               ","34    ","20020442               ","0     ","0                      ","0                      ","1555555                "
"7808","VND","704003","Thu từ nghiệp vụ bảo lãnh thực hiện hợp đồng","'C","0                      ","508536                 ","1     ","256157                 ","0     ","0                      ","0                      ","252379                 "
"7808","VND","704005","Thu từ nghiệp vụ bảo lãnh đảm bảo chất lượng","'C","0                      ","21067461               ","33    ","19764285               ","0     ","0                      ","0                      ","1303176                "
"7808","VND","71    ","Thu nhập phí từ hoạt động dịch vụ","'C","0                      ","798111398              ","1     ","20000                  ","93    ","2957483                ","0                      ","801048881              "
"7808","VND","711   ","Thu từ dịch vụ thanh toán","'C","0                      ","668940912              ","0     ","0                      ","91    ","2337483                ","0                      ","671278395              "
"7808","VND","7110  ","Thu từ dịch vụ thanh toán","'C","0                      ","668940912              ","0     ","0                      ","91    ","2337483                ","0                      ","671278395              "
"7808","VND","711001","Thu từ dịch vụ chuyển tiền trong nước","'C","0                      ","35261727               ","0     ","0                      ","34    ","2032258                ","0                      ","37293985               "
"7808","VND","711015","Thu phí rút, ứng tiền mặt thẻ nội địa ","'C","0                      ","9041000                ","0     ","0                      ","39    ","37000                  ","0                      ","9078000                "
"7808","VND","711016","Thu phí rút, ứng tiền mặt thẻ quốc tế ","'C","0                      ","27000                  ","0     ","0                      ","0     ","0                      ","0                      ","27000                  "
"7808","VND","711022","Thu phí phát hành thẻ nội địa","'C","0                      ","8575000                ","0     ","0                      ","1     ","50000                  ","0                      ","8625000                "
"7808","VND","711023","Thu phí phát hành thẻ ghi nợ quốc tế ","'C","0                      ","200000                 ","0     ","0                      ","0     ","0                      ","0                      ","200000                 "
"7808","VND","711026","Thu phí thường niên thẻ nội địa","'C","0                      ","38760000               ","0     ","0                      ","0     ","0                      ","0                      ","38760000               "
"7808","VND","711027","Thu phí thường niên thẻ ghi nợ quốc tế ","'C","0                      ","800000                 ","0     ","0                      ","0     ","0                      ","0                      ","800000                 "
"7808","VND","711034","Thu phí dịch vụ kiều hối, Western Union","'C","0                      ","206510                 ","0     ","0                      ","0     ","0                      ","0                      ","206510                 "
"7808","VND","711035","Thu từ dịch vụ thu hộ, chi hộ, uỷ nhiệm thanh toán","'C","0                      ","564010                 ","0     ","0                      ","1     ","151725                 ","0                      ","715735                 "
"7808","VND","711036","Thu phí duy trì dịch vụ Mobile Banking","'C","0                      ","310126000              ","0     ","0                      ","0     ","0                      ","0                      ","310126000              "
"7808","VND","711037","Thu phí xử lý giao dịch, phí khác về dịch vụ Mobile","'C","0                      ","43267000               ","0     ","0                      ","13    ","36500                  ","0                      ","43303500               "
"7808","VND","711042","Thu phí dịch vụ thanh toán hóa đơn","'C","0                      ","1360000                ","0     ","0                      ","0     ","0                      ","0                      ","1360000                "
"7808","VND","711044","Thu phí dịch vụ thu ngân sách Nhà nước","'C","0                      ","81572221               ","0     ","0                      ","0     ","0                      ","0                      ","81572221               "
"7808","VND","711051","Thu phí v.tin sdư Tk, hạn mức t.dụng, phí in sao kê","'C","0                      ","166500                 ","0     ","0                      ","0     ","0                      ","0                      ","166500                 "
"7808","VND","711059","Thu khác về nghiệp vụ thẻ","'C","0                      ","1012500                ","0     ","0                      ","3     ","30000                  ","0                      ","1042500                "
"7808","VND","711098","Thu lệ phí hoa hồng và các dịch vụ thanh toán trong","'C","0                      ","138001444              ","0     ","0                      ","0     ","0                      ","0                      ","138001444              "
"7808","VND","713   ","Thu từ dịch vụ ngân quỹ","'C","0                      ","3872986                ","0     ","0                      ","0     ","0                      ","0                      ","3872986                "
"7808","VND","7130  ","Thu từ dịch vụ ngân quỹ","'C","0                      ","3872986                ","0     ","0                      ","0     ","0                      ","0                      ","3872986                "
"7808","VND","713001","Thu từ dịch vụ ngân quỹ","'C","0                      ","3872986                ","0     ","0                      ","0     ","0                      ","0                      ","3872986                "
"7808","VND","719   ","Thu khác","'C","0                      ","125297500              ","1     ","20000                  ","2     ","620000                 ","0                      ","125897500              "
"7808","VND","7190  ","Thu khác","'C","0                      ","125297500              ","1     ","20000                  ","2     ","620000                 ","0                      ","125897500              "
"7808","VND","719008","Thu khác - dịch vụ chịu thuế","'C","0                      ","7850000                ","1     ","20000                  ","1     ","20000                  ","0                      ","7850000                "
"7808","VND","719009","Thu khác - dịch vụ không chịu thuế","'C","0                      ","117447500              ","0     ","0                      ","1     ","600000                 ","0                      ","118047500              "
"7808","VND","72    ","Thu nhập từ hoạt động kinh doanh ngoại hối","'C","0                      ","461954                 ","0     ","0                      ","0     ","0                      ","0                      ","461954                 "
"7808","VND","721   ","Thu  về kinh doanh ngoại tệ","'C","0                      ","461954                 ","0     ","0                      ","0     ","0                      ","0                      ","461954                 "
"7808","VND","7210  ","Thu  về kinh doanh ngoại tệ","'C","0                      ","461954                 ","0     ","0                      ","0     ","0                      ","0                      ","461954                 "
"7808","VND","721001","Thu  về kinh doanh ngoại tệ","'C","0                      ","461954                 ","0     ","0                      ","0     ","0                      ","0                      ","461954                 "
"7808","VND","74    ","Thu nhập từ hoạt động kinh doanh khác","'C","0                      ","78163822               ","0     ","0                      ","3     ","16321288               ","0                      ","94485110               "
"7808","VND","749   ","Thu về hoạt động kinh doanh khác","'C","0                      ","78163822               ","0     ","0                      ","3     ","16321288               ","0                      ","94485110               "
"7808","VND","7490  ","Thu về hoạt động kinh doanh khác","'C","0                      ","78163822               ","0     ","0                      ","3     ","16321288               ","0                      ","94485110               "
"7808","VND","749004","Thu điều tiết nội bộ phí dịch vụ ngân quỹ","'C","0                      ","0                      ","0     ","0                      ","2     ","16314288               ","0                      ","16314288               "
"7808","VND","749005","Thu điều tiết nội bộ từ các khoản Thu hộ phí dịch v","'C","0                      ","78163822               ","0     ","0                      ","1     ","7000                   ","0                      ","78170822               "
"7808","VND","79    ","Thu nhập khác","'C","0                      ","1437999424             ","531   ","1395359365             ","2     ","1033                   ","0                      ","42641092               "
"7808","VND","790   ","Thu nhập khác","'C","0                      ","1437999424             ","531   ","1395359365             ","2     ","1033                   ","0                      ","42641092               "
"7808","VND","7900  ","Thu nhập khác","'C","0                      ","1437999424             ","531   ","1395359365             ","2     ","1033                   ","0                      ","42641092               "
"7808","VND","790001","Thu từ  hoàn nhập quỹ dự phòng rủi ro","'C","0                      ","25305782               ","0     ","0                      ","0     ","0                      ","0                      ","25305782               "
"7808","VND","790002","Thu nợ đã xử lý rủi ro","'C","0                      ","11866000               ","0     ","0                      ","0     ","0                      ","0                      ","11866000               "
"7808","VND","790003","Lãi dự chi kỳ trước","'C","0                      ","1395359365             ","531   ","1395359365             ","0     ","0                      ","0                      ","0                      "
"7808","VND","790005","Thu lãi nợ ngắn hạn đã xử lý rủi ro","'C","0                      ","2966661                ","0     ","0                      ","0     ","0                      ","0                      ","2966661                "
"7808","VND","790008","Thu nhập khác","'C","0                      ","27849                  ","0     ","0                      ","0     ","0                      ","0                      ","27849                  "
"7808","VND","790009","Thu nhập bất thường  ","'C","0                      ","2473767                ","0     ","0                      ","2     ","1033                   ","0                      ","2474800                "
"7808","VND","8     ","Chi phí","'D","7710160380             ","0                      ","4859  ","2178192513             ","1280  ","1821851583             ","8066501310             ","0                      "
"7808","VND","80    ","Chi phí hoạt động tín dụng","'D","4841727666             ","0                      ","4856  ","2060546788             ","531   ","1395359365             ","5506915089             ","0                      "
"7808","VND","801   ","Trả lãi tiền gửi ","'D","1708691450             ","0                      ","4854  ","1410247140             ","531   ","1395359365             ","1723579225             ","0                      "
"7808","VND","8010  ","Trả lãi tiền gửi ","'D","1708691450             ","0                      ","4854  ","1410247140             ","531   ","1395359365             ","1723579225             ","0                      "
"7808","VND","801001","Trả lãi tiền gửi không kì hạn TCTD","'D","360700                 ","0                      ","1     ","87900                  ","0     ","0                      ","448600                 ","0                      "
"7808","VND","801003","Trả lãi tiền gửi không kì hạn TCKT và cá nhân","'D","60556792               ","0                      ","3718  ","12197451               ","0     ","0                      ","72754243               ","0                      "
"7808","VND","801004","Trả lãi tiền gửi có kì hạn TCKT và cá nhân","'D","305950861              ","0                      ","461   ","264273047              ","116   ","238539661              ","331684247              ","0                      "
"7808","VND","801006","Trả lãi tiền gửi tiết kiệm có kì hạn dưới 12 tháng","'D","372472570              ","0                      ","253   ","158188028              ","158   ","195281284              ","335379314              ","0                      "
"7808","VND","801007","Trả lãi tiền gửi tiết kiệm từ 12 tháng trở lên","'D","968400758              ","0                      ","421   ","975500714              ","257   ","961538420              ","982363052              ","0                      "
"7808","VND","801099","Trả lãi tiền gửi khác","'D","949769                 ","0                      ","0     ","0                      ","0     ","0                      ","949769                 ","0                      "
"7808","VND","802   ","Trả lãi tiền vay","'D","3131701904             ","0                      ","1     ","650280318              ","0     ","0                      ","3781982222             ","0                      "
"7808","VND","8020  ","Trả lãi tiền vay","'D","3131701904             ","0                      ","1     ","650280318              ","0     ","0                      ","3781982222             ","0                      "
"7808","VND","802010","Chi phí mua vốn","'D","3131701904             ","0                      ","1     ","650280318              ","0     ","0                      ","3781982222             ","0                      "
"7808","VND","809   ","Chi phí khác cho hoạt động tín dụng","'D","1334312                ","0                      ","1     ","19330                  ","0     ","0                      ","1353642                ","0                      "
"7808","VND","8090  ","Chi phí khác cho hoạt động tín dụng","'D","1334312                ","0                      ","1     ","19330                  ","0     ","0                      ","1353642                ","0                      "
"7808","VND","809009","Chi phí khác","'D","1334312                ","0                      ","1     ","19330                  ","0     ","0                      ","1353642                ","0                      "
"7808","VND","81    ","Chi  phí hoạt động dịch vụ","'D","181154829              ","0                      ","1     ","1104081                ","0     ","0                      ","182258910              ","0                      "
"7808","VND","812   ","  Cước phí bưu điện về mạng viễn thông","'D","25986546               ","0                      ","0     ","0                      ","0     ","0                      ","25986546               ","0                      "
"7808","VND","8120  ","  Cước phí bưu điện về mạng viễn thông","'D","25986546               ","0                      ","0     ","0                      ","0     ","0                      ","25986546               ","0                      "
"7808","VND","812001","Cước phí bưu điện về mạng viễn thông","'D","25986546               ","0                      ","0     ","0                      ","0     ","0                      ","25986546               ","0                      "
"7808","VND","813   ","  Chi về ngân quỹ","'D","62477884               ","0                      ","0     ","0                      ","0     ","0                      ","62477884               ","0                      "
"7808","VND","8131  ","Vận chuyển, bốc xếp tiền","'D","25879480               ","0                      ","0     ","0                      ","0     ","0                      ","25879480               ","0                      "
"7808","VND","813101","Vận chuyển, bốc xếp tiền","'D","25879480               ","0                      ","0     ","0                      ","0     ","0                      ","25879480               ","0                      "
"7808","VND","8132  ","Kiểm đếm , phân loại và đóng gói tiền","'D","1365000                ","0                      ","0     ","0                      ","0     ","0                      ","1365000                ","0                      "
"7808","VND","813201","Kiểm đếm , phân loại và đóng gói tiền","'D","1365000                ","0                      ","0     ","0                      ","0     ","0                      ","1365000                ","0                      "
"7808","VND","8133  ","Bảo vệ tiền","'D","22500000               ","0                      ","0     ","0                      ","0     ","0                      ","22500000               ","0                      "
"7808","VND","813301","Bảo vệ tiền","'D","22500000               ","0                      ","0     ","0                      ","0     ","0                      ","22500000               ","0                      "
"7808","VND","8139  ","Chi khác","'D","12733404               ","0                      ","0     ","0                      ","0     ","0                      ","12733404               ","0                      "
"7808","VND","813901","Phí nộp, lĩnh tiền mặt","'D","9497888                ","0                      ","0     ","0                      ","0     ","0                      ","9497888                ","0                      "
